,Player,Team,Season,cluster,score,zscore,rank,RANK
2290,Dikembe Mutombo,Hawks,1999-2000,0,188.049912201,1.91100792507,34.0,3.0
2749,Marcus Camby,Knicks,1999-2000,0,88.586024764,0.550114199941,187.0,7.0
2827,Dale Davis,Pacers,1999-2000,0,97.9206719896,0.677833547765,159.0,5.0
2867,Joe Smith,Timberwolves,1999-2000,0,24.4514486364,-0.327393652049,387.0,15.0
2927,Michael Olowokandi,Clippers,1999-2000,0,51.4801062918,0.0424202728792,288.0,10.0
3579,Shawn Bradley,Mavericks,1999-2000,0,74.1868125699,0.353100006885,226.0,8.0
3951,Kevin Willis,Raptors,1999-2000,0,-10.9996254075,-0.812445518192,538.0,21.0
3953,Scott Williams,Bucks,1999-2000,0,16.0487754892,-0.442361460517,413.0,16.0
3963,Danny Fortson,"Celtics, Raptors",1999-2000,0,-28.7880959933,-1.05583252652,606.0,24.0
4259,Jahidi White,Wizards,1999-2000,0,42.2127817258,-0.084377946812,326.0,12.0
4743,Luc Longley,Suns,1999-2000,0,-27.3018382256,-1.03549711713,604.0,23.0
5071,Rasho Nesterovic,Timberwolves,1999-2000,0,-36.1944949768,-1.15716902323,628.0,27.0
5121,Mark Bryant,Cavaliers,1999-2000,0,-30.0815191661,-1.07352951711,614.0,25.0
5159,Brian Skinner,Clippers,1999-2000,0,25.9810112593,-0.30646573309,379.0,14.0
5206,Adonal Foyle,Warriors,1999-2000,0,-19.7296831325,-0.931892697305,572.0,22.0
5258,Scot Pollard,Kings,1999-2000,0,40.4823104582,-0.108054756056,335.0,13.0
5319,Olden Polynice,Jazz,1999-2000,0,4.32206246714,-0.602809745611,464.0,19.0
5660,Ervin Johnson,Bucks,1999-2000,0,58.4788046297,0.138178491238,272.0,9.0
5823,Greg Ostertag,Jazz,1999-2000,0,44.9008879029,-0.0475984992841,309.0,11.0
6220,Jermaine O'Neal,Trail Blazers,1999-2000,0,-5.6764779077,-0.73961267185,517.0,20.0
6375,Robert Traylor,Bucks,1999-2000,0,8.63721022013,-0.543768643846,449.0,17.0
6675,Evan Eschmeyer,Nets,1999-2000,0,-50.381516629,-1.35127996382,662.0,28.0
6829,Jim McIlvaine,Nets,1999-2000,0,-32.7199687966,-1.10962954938,619.0,26.0
6880,Dean Garrett,Timberwolves,1999-2000,0,-70.7113985878,-1.62943929886,681.0,29.0
25,Shaquille O'Neal,Lakers,2000-2001,0,267.840100164,3.00272039402,7.0,1.0
362,Antonio McDyess,Nuggets,2000-2001,0,175.846173726,1.74403283952,44.0,2.0
1755,Elden Campbell,Hornets,2000-2001,0,93.8449349558,0.622068132824,171.0,7.0
1812,Jermaine O'Neal,Pacers,2000-2001,0,156.834859611,1.48391453174,59.0,4.0
1949,Theo Ratliff,76ers,2000-2001,0,148.176949508,1.36545449729,70.0,6.0
1953,Lorenzen Wright,Hawks,2000-2001,0,38.9454023656,-0.12908317786,337.0,12.0
2067,Marcus Camby,Knicks,2000-2001,0,157.06621759,1.48708003863,58.0,3.0
2844,Dikembe Mutombo,"Hawks, 76ers",2000-2001,0,156.139857399,1.47440531011,62.0,5.0
3501,Jahidi White,Wizards,2000-2001,0,60.4342880841,0.164933982414,270.0,9.0
3509,Michael Olowokandi,Clippers,2000-2001,0,30.3762490707,-0.246328815942,361.0,15.0
4065,Vitaly Potapenko,Celtics,2000-2001,0,-23.2886166395,-0.980587056661,585.0,26.0
4080,Erick Dampier,Warriors,2000-2001,0,-3.97854384285,-0.71638104604,513.0,20.0
4288,Shawn Bradley,Mavericks,2000-2001,0,88.7551304014,0.552427952266,186.0,8.0
4600,Tony Battie,Celtics,2000-2001,0,42.8674326867,-0.0754208226955,323.0,10.0
4617,Scot Pollard,Kings,2000-2001,0,42.7744600833,-0.0766929007923,324.0,11.0
4979,Adonal Foyle,Warriors,2000-2001,0,20.5778395355,-0.38039349405,408.0,18.0
5072,Robert Traylor,Cavaliers,2000-2001,0,-14.2224916212,-0.856541707475,549.0,23.0
5321,Olden Polynice,Jazz,2000-2001,0,-21.3015670435,-0.95339966839,578.0,25.0
5719,Reggie Slater,Timberwolves,2000-2001,0,-46.8657685696,-1.30317648027,655.0,32.0
5788,Jamaal Magloire,Hornets,2000-2001,0,31.2288130064,-0.234663789165,358.0,14.0
5792,Jake Tsakalidis,Suns,2000-2001,0,-6.70018524167,-0.753619332187,521.0,21.0
5845,Rasho Nesterovic,Timberwolves,2000-2001,0,-17.790654327,-0.905362343403,565.0,24.0
5851,Tony Massenburg,Grizzlies,2000-2001,0,-26.7655898394,-1.02816001135,598.0,28.0
5852,Greg Ostertag,Jazz,2000-2001,0,38.4484206813,-0.135883025254,339.0,13.0
6202,Zan Tabak,Pacers,2000-2001,0,-43.5068323863,-1.25721854224,645.0,31.0
6472,Evan Eschmeyer,Nets,2000-2001,0,29.1928293368,-0.262520707608,365.0,16.0
6532,Don Reid,Magic,2000-2001,0,3.62229915076,-0.612384110044,466.0,19.0
6546,Ervin Johnson,Bucks,2000-2001,0,28.0394292713,-0.278301861473,368.0,17.0
6786,Dean Garrett,Timberwolves,2000-2001,0,-7.37778790018,-0.762890488079,523.0,22.0
6810,Duane Causwell,Heat,2000-2001,0,-76.9980302035,-1.71545481402,686.0,33.0
6825,Dragan Tarlac,Bulls,2000-2001,0,-37.8998038227,-1.18050155293,631.0,29.0
6857,Eric Montross,"Pistons, Raptors",2000-2001,0,-23.790842257,-0.987458653067,587.0,27.0
6921,Chris Dudley,Suns,2000-2001,0,-40.5862735643,-1.21725861028,638.0,30.0
54,Shaquille O'Neal,Lakers,2001-2002,0,213.791514135,2.26321198072,20.0,1.0
581,Jermaine O'Neal,Pacers,2001-2002,0,162.012930614,1.55476239942,51.0,2.0
1136,Alonzo Mourning,Heat,2001-2002,0,133.41001048,1.16340895915,87.0,4.0
1524,Elden Campbell,Hornets,2001-2002,0,70.91215978,0.308295258663,233.0,7.0
2284,Dikembe Mutombo,76ers,2001-2002,0,136.205108492,1.20165229997,86.0,3.0
2385,Danny Fortson,Warriors,2001-2002,0,51.6980547449,0.0454023067595,287.0,8.0
2416,Zydrunas Ilgauskas,Cavaliers,2001-2002,0,13.2158456982,-0.481122426689,430.0,17.0
2438,Michael Olowokandi,Clippers,2001-2002,0,88.3151531042,0.546408055413,190.0,5.0
2946,Todd MacCulloch,Nets,2001-2002,0,42.967140597,-0.0740565901798,322.0,10.0
3538,Jamaal Magloire,Hornets,2001-2002,0,31.532829764,-0.230504143806,357.0,14.0
3592,Rasho Nesterovic,Timberwolves,2001-2002,0,43.8940970103,-0.0613737039692,318.0,9.0
3928,Chris Mihm,Cavaliers,2001-2002,0,5.20775044693,-0.590691506065,458.0,19.0
3986,Erick Dampier,Warriors,2001-2002,0,25.4447484516,-0.313803036194,383.0,15.0
4359,Zeljko Rebraca,Pistons,2001-2002,0,-18.7766355823,-0.918852824602,569.0,23.0
4692,Scot Pollard,Kings,2001-2002,0,37.5009382984,-0.148846753726,341.0,11.0
5271,Jahidi White,Wizards,2001-2002,0,74.7984457038,0.361468548629,225.0,6.0
5302,Jerome James,SuperSonics,2001-2002,0,37.375865815,-0.150558031681,342.0,12.0
5458,Brendan Haywood,Wizards,2001-2002,0,6.61037695665,-0.571500363782,456.0,18.0
5511,Jake Voskuhl,Suns,2001-2002,0,-56.3864485656,-1.43344118236,670.0,30.0
5563,Scott Williams,Nuggets,2001-2002,0,-40.0036127038,-1.20928647557,637.0,27.0
5657,Adonal Foyle,Warriors,2001-2002,0,-15.1555022608,-0.869307429363,555.0,21.0
5776,Vitaly Potapenko,Celtics,2001-2002,0,-26.9162536846,-1.03022143773,600.0,25.0
5825,Art Long,SuperSonics,2001-2002,0,-16.2278819834,-0.883980039423,557.0,22.0
6251,Steven Hunter,Magic,2001-2002,0,-20.3191521698,-0.939957983457,573.0,24.0
6438,Brian Skinner,Cavaliers,2001-2002,0,24.4275550923,-0.327720570443,388.0,16.0
6496,Don Reid,Magic,2001-2002,0,-56.1732256956,-1.43052380527,668.0,28.0
6515,Greg Ostertag,Jazz,2001-2002,0,-27.0027297919,-1.03140462888,601.0,26.0
6754,Joel Przybilla,Bucks,2001-2002,0,35.480275074,-0.1764940534,347.0,13.0
6778,Ervin Johnson,Bucks,2001-2002,0,-14.1137762415,-0.855054232152,548.0,20.0
6823,Eric Montross,Raptors,2001-2002,0,-56.2162244975,-1.43111212734,669.0,29.0
45,Shaquille O'Neal,Lakers,2002-2003,0,231.048515777,2.49932727697,14.0,1.0
370,Jermaine O'Neal,Pacers,2002-2003,0,174.340746796,1.72343515209,45.0,3.0
662,Elton Brand,Clippers,2002-2003,0,176.269391384,1.74982342613,43.0,2.0
866,Zydrunas Ilgauskas,Cavaliers,2002-2003,0,67.8367319867,0.266216364566,242.0,9.0
1654,Yao Ming,Rockets,2002-2003,0,105.647959884,0.783560539524,144.0,4.0
2010,Michael Olowokandi,Clippers,2002-2003,0,76.0763704443,0.378953485174,221.0,7.0
2398,Rasho Nesterovic,Timberwolves,2002-2003,0,61.6501488035,0.181569741043,265.0,11.0
2720,Jamaal Magloire,Hornets,2002-2003,0,93.8844393055,0.622608642783,169.0,5.0
3435,Theo Ratliff,Hawks,2002-2003,0,89.1897378002,0.558374376612,184.0,6.0
3673,Erick Dampier,Warriors,2002-2003,0,40.6589559689,-0.105637841,333.0,13.0
3900,Othella Harrington,Knicks,2002-2003,0,-13.2371208351,-0.843059578893,545.0,19.0
